query_id,query_text
q_001360,public schools
q_001361,pubs and clubs
q_001362,pump stations
q_001363,punch
q_001364,punches
q_001365,punished with imprisonment
q_001366,pupil assignment board
q_001367,pupil assignment plan
q_001368,push poll
q_001369,push polling
q_001370,quad test
q_001371,quality of care
q_001372,quarter
q_001373,queen
q_001374,queen elizabeth
q_001375,queen elizabeth ii
q_001376,queen's
q_001377,race
q_001378,race color religion
q_001379,race creed color
q_001380,races
q_001381,racial
q_001382,racial achievement gap
q_001383,racial differences
q_001384,racial discrimination
q_001385,racial groups
q_001386,racial prejudice
q_001387,racism
q_001388,radiation
q_001389,random testing
q_001390,rangel
q_001391,rangel center
q_001392,rank and file
q_001393,rapid population growth
q_001394,rate
q_001395,rates of smoking
q_001396,rating
q_001397,rating board
q_001398,rating board esrb
q_001399,ratio
q_001400,reactor
q_001401,reactors
q_001402,reading and math
q_001403,rear hand
q_001404,reasonable restrictions
q_001405,receptor
q_001406,recession
q_001407,redress of grievances
q_001408,reduce future deficits
q_001409,refineries
q_001410,refugee
q_001411,refugee camps
q_001412,refugee status
q_001413,refugees
q_001414,refused classification
q_001415,regime
q_001416,reign
q_001417,related agencies
q_001418,religion
q_001419,renewable
q_001420,renewable electricity
q_001421,renewable energy
q_001422,renewable energy production
q_001423,renewable energy sources
q_001424,renewable energy technologies
q_001425,renewable portfolio standards
q_001426,renewables
q_001427,rent seeking
q_001428,rent stabilized
q_001429,replacement cost method
q_001430,reporters without borders
q_001431,reproductive
q_001432,reproductive health
q_001433,reproductive rights
q_001434,republic of china
q_001435,republican
q_001436,republican party
q_001437,republican primary
q_001438,research article
q_001439,research stations
q_001440,reserve powers
q_001441,resettlement
q_001442,results
q_001443,retirement
q_001444,retirement plans
q_001445,returning to school
q_001446,reverse discrimination
q_001447,revolutionary industrial unionism
q_001448,revolving door
q_001449,rich
q_001450,richard dawkins
q_001451,richard dawkins foundation
q_001452,rights
q_001453,rights of man
q_001454,risk score
q_001455,robert mã©nard
q_001456,roman catholic church
q_001457,ross
q_001458,round of counting
q_001459,round of voting
q_001460,rounds
q_001461,rounds of voting
q_001462,route
q_001463,royal
q_001464,royal family
q_001465,royal prerogative
q_001466,running mate
q_001467,runoff voting
q_001468,rural
q_001469,rural areas
q_001470,safe harbor
q_001471,safe port act
q_001472,sales
q_001473,sam harris
q_001474,sample size
q_001475,sampling error
q_001476,san bernardino
q_001477,sanctions on burma
q_001478,sand
q_001479,sands
q_001480,savings
q_001481,scarce
q_001482,schedule iii
q_001483,school
q_001484,school activities
q_001485,school board
q_001486,school choice
q_001487,school districts
q_001488,school holidays
q_001489,school leaving age
q_001490,school programs
q_001491,school system
q_001492,school vouchers
q_001493,school year
q_001494,schooling
q_001495,schools
q_001496,science
q_001497,scientific
q_001498,screening
q_001499,screening test
q_001500,sea
q_001501,sea level
q_001502,search
q_001503,search engine
q_001504,search engines
q_001505,search results
q_001506,seats
q_001507,secondary
q_001508,secondary education
q_001509,secret
q_001510,secret service
q_001511,secrets
q_001512,security
q_001513,security council
q_001514,seekers
q_001515,selective service
q_001516,selective service act
q_001517,selective service system
q_001518,sell lottery tickets
q_001519,senate
q_001520,senators and representatives
q_001521,september
q_001522,service
q_001523,settings
q_001524,sex
q_001525,sex discrimination
q_001526,sex education
q_001527,sex selective abortion
q_001528,sexual
q_001529,sexual revolution
q_001530,sexual violence
q_001531,sexuality education
q_001532,sexually
q_001533,sexually explicit
q_001534,sexually transmitted
q_001535,sexually transmitted disease
q_001536,sexually transmitted diseases
q_001537,sexually transmitted infection
q_001538,sexually transmitted infections
q_001539,shan state
q_001540,shan states
q_001541,shoulder lean
q_001542,shouting fire
q_001543,shwedagon pagoda
q_001544,signed the npt
q_001545,silencing
q_001546,single cell pcr
q_001547,single track
q_001548,single transferable vote
q_001549,single winner
q_001550,skilled
q_001551,skilled and unskilled
q_001552,skilled workers
q_001553,slander
q_001554,slander and libel
q_001555,slapp
q_001556,slot machines
q_001557,smoke
q_001558,smoke free
q_001559,smoke free laws
q_001560,smoke free workplaces
q_001561,smokeless tobacco
q_001562,smokers
q_001563,smoking
q_001564,smoking among women
q_001565,smoking bans
q_001566,smoking rates
q_001567,smoking restrictions
q_001568,snuff
q_001569,social housing
q_001570,social security medicare
q_001571,social sex selection
q_001572,software rating board
q_001573,south pole
q_001574,southeast asia
q_001575,southern district
q_001576,sovereign
q_001577,sovereign debt
q_001578,sovereign default
q_001579,soviet
q_001580,soviet union
q_001581,special administrative regions
q_001582,species
q_001583,species and ecosystems
q_001584,species extinctions
q_001585,species loss
q_001586,speech
q_001587,spending
q_001588,spina bifida
q_001589,spiral of silence
q_001590,sponsorship
q_001591,sports betting
q_001592,spread of hiv
q_001593,spy
q_001594,st peter's
q_001595,stanley plan
q_001596,starts
q_001597,state
q_001598,state of alaska
q_001599,state schools
q_001600,state secrets
q_001601,state secrets privilege
q_001602,states
q_001603,states parties
q_001604,status
q_001605,status of refugees
q_001606,stds
q_001607,steam
q_001608,steam injection
q_001609,stereotypes
q_001610,sterilization
q_001611,sterilized
q_001612,steroid
q_001613,steroid users
q_001614,steroids
q_001615,steve chabot
q_001616,straight punch thrown
q_001617,strategic nomination
q_001618,strategy games
q_001619,street view program
q_001620,students
q_001621,studies
q_001622,style
q_001623,style of boxing
q_001624,subprime mortgage crisis
q_001625,subsidy
q_001626,substance
q_001627,substance abuse
q_001628,substance dependence
q_001629,substances
q_001630,successful ageing
q_001631,summer
q_001632,summer holidays
q_001633,summer holidays start
q_001634,summer learning loss
q_001635,summer vacation
q_001636,summer vacation lasts
q_001637,summer vacation starts
q_001638,super tuesday
q_001639,supernatural
q_001640,suppression of dissent
q_001641,supreme court
q_001642,surface mining
q_001643,survey results
q_001644,sustainability
q_001645,sustainable
q_001646,suu kyi
q_001647,sweden
q_001648,sweden's
q_001649,swedish
q_001650,synthetic crude oil
q_001651,system
q_001652,systematic doping
q_001653,tactical nuclear weapons
q_001654,tactical voting
q_001655,tangible
q_001656,tar sands
q_001657,targeted killing
q_001658,targeted killings
q_001659,tax
q_001660,tax credits
q_001661,tax cuts
q_001662,tax policy
q_001663,tax rate
q_001664,tax reform act
q_001665,tax revenues
q_001666,tcp
q_001667,tea party movement
q_001668,technical assistance
q_001669,technology
q_001670,teller ulam design
q_001671,telomerase
q_001672,term capital gains
q_001673,term of service
q_001674,terms and conditions
q_001675,terms of service
q_001676,tertiary
q_001677,tertiary education
q_001678,test
q_001679,test ban treaty
q_001680,test results
q_001681,testing
q_001682,thein sein
q_001683,theological noncognitivism
q_001684,theories of property
q_001685,theory of ageing
q_001686,theory of education
q_001687,theory of property
q_001688,threat
q_001689,title vii
q_001690,tobacco
q_001691,tobacco advertising
q_001692,tobacco companies
q_001693,tobacco consumption
q_001694,tobacco control
q_001695,tobacco industry
q_001696,tobacco product
q_001697,tobacco products
q_001698,tobacco smoke
q_001699,toomey
q_001700,top secret
q_001701,total fertility rate
q_001702,total population
q_001703,tour de france
q_001704,township
q_001705,trade union
q_001706,trade union members
q_001707,trade unions
q_001708,trading in influence
q_001709,traditional public schools
q_001710,transcanada
q_001711,transparency
q_001712,traumatic brain injury
q_001713,treason
q_001714,treatment
q_001715,treaty
q_001716,treaty of waitangi
q_001717,trident
q_001718,trillion submitted
q_001719,trimester
q_001720,triple bottom line
q_001721,troika
q_001722,troops
q_001723,tropical
q_001724,turbine
q_001725,turbines
q_001726,type of tobacco
q_001727,types of tobacco
q_001728,typical circumvention methods
q_001729,u.s
q_001730,u.s economy
q_001731,u.s presidential election
q_001732,u.s senate
q_001733,uigea
q_001734,uk
q_001735,uk and colonies
q_001736,uk border agency
q_001737,uk gambling commission
q_001738,uk general election
q_001739,ultrasound
q_001740,unable to continue
q_001741,uncac
q_001742,unconventional oil
q_001743,unemployed
q_001744,unemployment
q_001745,unemployment benefits
q_001746,unemployment insurance
q_001747,unemployment rate
q_001748,unhcr
q_001749,union
q_001750,union density
q_001751,union members
q_001752,union movement
q_001753,union of burma
q_001754,union of myanmar
q_001755,unionism
q_001756,unions
q_001757,united kingdom
q_001758,united nations population
q_001759,united states
q_001760,universal primary education
q_001761,universities
q_001762,university of massachusetts
q_001763,unlawful internet gambling
q_001764,unpaid
q_001765,unpaid care work
q_001766,unpaid work
q_001767,unskilled workers
q_001768,uranium
q_001769,uranium enrichment
q_001770,uranium enrichment program
q_001771,urban areas
q_001772,urban population
q_001773,usa patriot act
q_001774,user
q_001775,users
q_001776,ussr
q_001777,uterus
q_001778,valign top
q_001779,vatican city
q_001780,video
q_001781,video game
q_001782,video game content
q_001783,video game industry
q_001784,video game play
q_001785,video game sales
q_001786,video game violence
q_001787,video games
q_001788,violence
q_001789,violent
q_001790,violent acts
q_001791,violent behavior
q_001792,violent content
q_001793,violent games
q_001794,violent video
q_001795,violent video game
q_001796,violent video games
q_001797,virtual manipulatives
q_001798,volcano
q_001799,volunteer
q_001800,vote
q_001801,vote splitting
q_001802,voted
q_001803,voter
q_001804,voter fraud
q_001805,voter intimidation
q_001806,voter registration
q_001807,voter suppression
q_001808,voters
q_001809,votes
q_001810,voting
q_001811,voting machine
q_001812,voting machines
q_001813,voting methods
q_001814,voting rights act
q_001815,voting system
q_001816,voting system criteria
q_001817,voting systems
q_001818,voucher system
q_001819,wagering
q_001820,wages
q_001821,walney wind farm
q_001822,war
q_001823,war documents leak
q_001824,war in afghanistan
q_001825,war logs
q_001826,warheads
q_001827,water
q_001828,wau holland foundation
q_001829,weapon
q_001830,weapons
q_001831,web companies
q_001832,web sites
q_001833,week
q_001834,week in september
q_001835,week of june
q_001836,week of march
q_001837,week of september
q_001838,weeks
q_001839,welfare state
q_001840,west antarctica
q_001841,whistleblower
q_001842,white americans
q_001843,whitelee wind farm
q_001844,widespread corruption
q_001845,wikileaks
q_001846,wikileaks documents
q_001847,wikileaks released
q_001848,willingness to speak
q_001849,win
q_001850,wind
q_001851,wind energy
q_001852,wind energy association
q_001853,wind energy policy
q_001854,wind energy projects
q_001855,wind farm
q_001856,wind power
q_001857,wind power capacity
q_001858,wind project
q_001859,wind speed
q_001860,wind turbine
q_001861,wind turbines
q_001862,winning numbers
q_001863,winning the jackpot
q_001864,winnings
q_001865,wipo
q_001866,women
q_001867,won
q_001868,work
q_001869,workers
q_001870,working
q_001871,works
q_001872,world boxing
q_001873,world health organization
q_001874,world war ii
q_001875,world youth day
q_001876,wrestling
q_001877,yangon
q_001878,year bonds
q_001879,year round
q_001880,years of age
q_001881,yield
q_001882,york
q_001883,york state assembly
q_001884,young
q_001885,young adults
q_001886,young men
q_001887,younger adults
q_001888,youth
q_001889,youth violence
q_001890,youtube
