topic,term1,term2,score,relatedness_level
education should be funded using a voucher scheme,charter school students,education,1.0,high
education should be funded using a voucher scheme,charter school students,higher education,0.2,low
education should be funded using a voucher scheme,charter school students,math,0.3,low
education should be funded using a voucher scheme,charter school students,sweden's,0.0,low
education should be funded using a voucher scheme,charter school students,tax credits,0.2,low
education should be funded using a voucher scheme,charter school students,voucher scheme,0.8,high
education should be funded using a voucher scheme,charter schools,education,1.0,high
education should be funded using a voucher scheme,charter schools,math,0.1,low
education should be funded using a voucher scheme,charter schools,private education,0.9,high
education should be funded using a voucher scheme,charter schools,voucher scheme,0.7,high
education should be funded using a voucher scheme,childcare voucher scheme,education,0.6,medium
education should be funded using a voucher scheme,childcare voucher scheme,voucher scheme,1.0,high
education should be funded using a voucher scheme,college or university,education,1.0,high
education should be funded using a voucher scheme,college or university,voucher scheme,0.4,medium
education should be funded using a voucher scheme,department of education,childcare voucher scheme,0.7,high
education should be funded using a voucher scheme,department of education,education,1.0,high
education should be funded using a voucher scheme,department of education,tax,0.0,low
education should be funded using a voucher scheme,department of education,voucher scheme,0.8,high
education should be funded using a voucher scheme,education,childcare voucher scheme,0.6,medium
education should be funded using a voucher scheme,education,education,1.0,high
education should be funded using a voucher scheme,education,local public schools,1.0,high
education should be funded using a voucher scheme,education,local school district,0.8,high
education should be funded using a voucher scheme,education,plan,0.2,low
education should be funded using a voucher scheme,education,sweden's,0.0,low
education should be funded using a voucher scheme,education,tax,0.0,low
education should be funded using a voucher scheme,education,voucher scheme,0.9,high
education should be funded using a voucher scheme,federal,education,0.0,low
education should be funded using a voucher scheme,federal,voucher scheme,0.0,low
education should be funded using a voucher scheme,free to choose,education,0.3,low
education should be funded using a voucher scheme,free to choose,voucher scheme,0.6,medium
education should be funded using a voucher scheme,friedman,education,0.5,medium
education should be funded using a voucher scheme,friedman,voucher scheme,0.4,medium
education should be funded using a voucher scheme,gove,education,0.2,low
education should be funded using a voucher scheme,gove,voucher scheme,0.0,low
education should be funded using a voucher scheme,higher education,education,1.0,high
education should be funded using a voucher scheme,higher education,voucher scheme,0.3,low
education should be funded using a voucher scheme,john mccain,education,0.0,low
education should be funded using a voucher scheme,john mccain,federal,0.1,low
education should be funded using a voucher scheme,john mccain,free to choose,0.0,low
education should be funded using a voucher scheme,john mccain,local public schools,0.0,low
education should be funded using a voucher scheme,john mccain,number of students,0.1,low
education should be funded using a voucher scheme,john mccain,school board,0.1,low
education should be funded using a voucher scheme,john mccain,school vouchers,0.0,low
education should be funded using a voucher scheme,john mccain,voucher scheme,0.0,low
education should be funded using a voucher scheme,local public schools,education,1.0,high
education should be funded using a voucher scheme,local public schools,voucher scheme,0.8,high
education should be funded using a voucher scheme,local school district,education,1.0,high
education should be funded using a voucher scheme,local school district,voucher scheme,0.6,medium
education should be funded using a voucher scheme,local school districts,childcare voucher scheme,0.4,medium
education should be funded using a voucher scheme,local school districts,education,1.0,high
education should be funded using a voucher scheme,local school districts,gove,0.0,low
education should be funded using a voucher scheme,local school districts,higher education,0.4,medium
education should be funded using a voucher scheme,local school districts,tax,0.0,low
education should be funded using a voucher scheme,local school districts,voucher scheme,0.6,medium
education should be funded using a voucher scheme,math,education,1.0,high
education should be funded using a voucher scheme,math,voucher scheme,0.2,low
education should be funded using a voucher scheme,mccain,capitalism,0.0,low
education should be funded using a voucher scheme,mccain,education,0.0,low
education should be funded using a voucher scheme,mccain,higher education,0.0,low
education should be funded using a voucher scheme,mccain,local school district,0.0,low
education should be funded using a voucher scheme,mccain,primary school,0.0,low
education should be funded using a voucher scheme,mccain,private education,0.0,low
education should be funded using a voucher scheme,mccain,public school students,0.0,low
education should be funded using a voucher scheme,mccain,reading and math,0.1,low
education should be funded using a voucher scheme,mccain,state schools,0.0,low
education should be funded using a voucher scheme,mccain,voucher scheme,0.0,low
education should be funded using a voucher scheme,number of students,education,0.6,medium
education should be funded using a voucher scheme,number of students,voucher scheme,0.4,medium
education should be funded using a voucher scheme,obama,education,0.1,low
education should be funded using a voucher scheme,obama,free to choose,0.1,low
education should be funded using a voucher scheme,obama,gove,0.0,low
education should be funded using a voucher scheme,obama,local school district,0.1,low
education should be funded using a voucher scheme,obama,math,0.0,low
education should be funded using a voucher scheme,obama,school vouchers,0.2,low
education should be funded using a voucher scheme,obama,tax,0.0,low
education should be funded using a voucher scheme,obama,usa patriot act,0.3,low
education should be funded using a voucher scheme,obama,voucher scheme,0.2,low
education should be funded using a voucher scheme,obama,voucher system,0.2,low
education should be funded using a voucher scheme,plan,education,0.2,low
education should be funded using a voucher scheme,plan,voucher scheme,0.2,low
education should be funded using a voucher scheme,primary school,education,1.0,high
education should be funded using a voucher scheme,primary school,voucher scheme,0.7,high
education should be funded using a voucher scheme,prince edward county,college or university,0.1,low
education should be funded using a voucher scheme,prince edward county,education,0.2,low
education should be funded using a voucher scheme,prince edward county,free to choose,0.0,low
education should be funded using a voucher scheme,prince edward county,local public schools,0.2,low
education should be funded using a voucher scheme,prince edward county,tax credits,0.0,low
education should be funded using a voucher scheme,prince edward county,voucher scheme,0.5,medium
education should be funded using a voucher scheme,private,education,0.5,medium
education should be funded using a voucher scheme,private,free to choose,0.2,low
education should be funded using a voucher scheme,private,higher education,0.1,low
education should be funded using a voucher scheme,private,school system,0.4,medium
education should be funded using a voucher scheme,private,school vouchers,0.3,low
education should be funded using a voucher scheme,private,tax,0.0,low
education should be funded using a voucher scheme,private,voucher scheme,0.2,low
education should be funded using a voucher scheme,private education,education,1.0,high
education should be funded using a voucher scheme,private education,voucher scheme,0.9,high
education should be funded using a voucher scheme,private schools,education,1.0,high
education should be funded using a voucher scheme,private schools,friedman,0.3,low
education should be funded using a voucher scheme,private schools,reading and math,0.4,medium
education should be funded using a voucher scheme,private schools,school system,1.0,high
education should be funded using a voucher scheme,private schools,tax,0.1,low
education should be funded using a voucher scheme,private schools,voucher scheme,0.8,high
education should be funded using a voucher scheme,public education,education,1.0,high
education should be funded using a voucher scheme,public education,voucher scheme,0.9,high
education should be funded using a voucher scheme,public school,education,1.0,high
education should be funded using a voucher scheme,public school,local school district,1.0,high
education should be funded using a voucher scheme,public school,tax,0.1,low
education should be funded using a voucher scheme,public school,voucher scheme,0.9,high
education should be funded using a voucher scheme,public school students,education,1.0,high
education should be funded using a voucher scheme,public school students,voucher scheme,0.9,high
education should be funded using a voucher scheme,public school system,education,1.0,high
education should be funded using a voucher scheme,public school system,friedman,0.2,low
education should be funded using a voucher scheme,public school system,higher education,0.4,medium
education should be funded using a voucher scheme,public school system,local public schools,1.0,high
education should be funded using a voucher scheme,public school system,rich,0.0,low
education should be funded using a voucher scheme,public school system,voucher scheme,0.9,high
education should be funded using a voucher scheme,public schools,education,1.0,high
education should be funded using a voucher scheme,public schools,local public schools,1.0,high
education should be funded using a voucher scheme,public schools,primary school,1.0,high
education should be funded using a voucher scheme,public schools,rich,0.0,low
education should be funded using a voucher scheme,public schools,school vouchers,0.9,high
education should be funded using a voucher scheme,public schools,voucher scheme,0.9,high
education should be funded using a voucher scheme,pupil assignment board,capitalism,0.0,low
education should be funded using a voucher scheme,pupil assignment board,education,1.0,high
education should be funded using a voucher scheme,pupil assignment board,primary school,0.7,high
education should be funded using a voucher scheme,pupil assignment board,state schools,0.6,medium
education should be funded using a voucher scheme,pupil assignment board,tax credits,0.0,low
education should be funded using a voucher scheme,pupil assignment board,voucher scheme,0.4,medium
education should be funded using a voucher scheme,pupil assignment board,voucher system,0.6,medium
education should be funded using a voucher scheme,pupil assignment plan,education,0.9,high
education should be funded using a voucher scheme,pupil assignment plan,higher education,0.2,low
education should be funded using a voucher scheme,pupil assignment plan,local public schools,0.7,high
education should be funded using a voucher scheme,pupil assignment plan,private education,0.7,high
education should be funded using a voucher scheme,pupil assignment plan,sweden's,0.1,low
education should be funded using a voucher scheme,pupil assignment plan,tax,0.0,low
education should be funded using a voucher scheme,pupil assignment plan,voucher scheme,0.7,high
education should be funded using a voucher scheme,racial achievement gap,education,1.0,high
education should be funded using a voucher scheme,racial achievement gap,math,0.2,low
education should be funded using a voucher scheme,racial achievement gap,voucher scheme,0.3,low
education should be funded using a voucher scheme,reading and math,education,1.0,high
education should be funded using a voucher scheme,reading and math,voucher scheme,0.2,low
education should be funded using a voucher scheme,rich,education,0.0,low
education should be funded using a voucher scheme,rich,voucher scheme,0.0,low
education should be funded using a voucher scheme,school,education,1.0,high
education should be funded using a voucher scheme,school,free to choose,0.0,low
education should be funded using a voucher scheme,school,voucher scheme,0.8,high
education should be funded using a voucher scheme,school board,education,0.9,high
education should be funded using a voucher scheme,school board,voucher scheme,0.6,medium
education should be funded using a voucher scheme,school choice,education,1.0,high
education should be funded using a voucher scheme,school choice,voucher scheme,0.9,high
education should be funded using a voucher scheme,school districts,education,0.9,high
education should be funded using a voucher scheme,school districts,rich,0.0,low
education should be funded using a voucher scheme,school districts,tax credits,0.0,low
education should be funded using a voucher scheme,school districts,voucher scheme,0.5,medium
education should be funded using a voucher scheme,school system,education,1.0,high
education should be funded using a voucher scheme,school system,voucher scheme,0.9,high
education should be funded using a voucher scheme,school vouchers,education,1.0,high
education should be funded using a voucher scheme,school vouchers,voucher scheme,1.0,high
education should be funded using a voucher scheme,schools,capitalism,0.0,low
education should be funded using a voucher scheme,schools,education,1.0,high
education should be funded using a voucher scheme,schools,higher education,0.9,high
education should be funded using a voucher scheme,schools,public school students,1.0,high
education should be funded using a voucher scheme,schools,state schools,1.0,high
education should be funded using a voucher scheme,schools,tax credits,0.1,low
education should be funded using a voucher scheme,schools,voucher scheme,0.9,high
education should be funded using a voucher scheme,stanley plan,education,0.7,high
education should be funded using a voucher scheme,stanley plan,federal,0.1,low
education should be funded using a voucher scheme,stanley plan,gove,0.0,low
education should be funded using a voucher scheme,stanley plan,local school district,0.5,medium
education should be funded using a voucher scheme,stanley plan,rich,0.0,low
education should be funded using a voucher scheme,stanley plan,state schools,0.7,high
education should be funded using a voucher scheme,stanley plan,voucher scheme,0.4,medium
education should be funded using a voucher scheme,state,education,0.0,low
education should be funded using a voucher scheme,state,voucher scheme,0.1,low
education should be funded using a voucher scheme,state schools,education,1.0,high
education should be funded using a voucher scheme,state schools,voucher scheme,0.9,high
education should be funded using a voucher scheme,students,education,1.0,high
education should be funded using a voucher scheme,students,rich,0.0,low
education should be funded using a voucher scheme,students,tax,0.0,low
education should be funded using a voucher scheme,students,voucher scheme,0.8,high
education should be funded using a voucher scheme,sweden,charter school law,0.0,low
education should be funded using a voucher scheme,sweden,education,0.0,low
education should be funded using a voucher scheme,sweden,friedman,0.0,low
education should be funded using a voucher scheme,sweden,private education,0.1,low
education should be funded using a voucher scheme,sweden,public school students,0.0,low
education should be funded using a voucher scheme,sweden,tax credits,0.0,low
education should be funded using a voucher scheme,sweden,voucher scheme,0.2,low
education should be funded using a voucher scheme,sweden's,education,0.0,low
education should be funded using a voucher scheme,sweden's,voucher scheme,0.2,low
education should be funded using a voucher scheme,swedish,education,0.0,low
education should be funded using a voucher scheme,swedish,higher education,0.0,low
education should be funded using a voucher scheme,swedish,local public schools,0.0,low
education should be funded using a voucher scheme,swedish,private education,0.0,low
education should be funded using a voucher scheme,swedish,public education,0.0,low
education should be funded using a voucher scheme,swedish,school vouchers,0.1,low
education should be funded using a voucher scheme,swedish,tax credits,0.0,low
education should be funded using a voucher scheme,swedish,voucher scheme,0.1,low
education should be funded using a voucher scheme,tax,education,0.1,low
education should be funded using a voucher scheme,tax,voucher scheme,0.1,low
education should be funded using a voucher scheme,tax credits,education,0.1,low
education should be funded using a voucher scheme,tax credits,voucher scheme,0.4,medium
education should be funded using a voucher scheme,traditional public schools,education,1.0,high
education should be funded using a voucher scheme,traditional public schools,friedman,0.3,low
education should be funded using a voucher scheme,traditional public schools,local school district,0.7,high
education should be funded using a voucher scheme,traditional public schools,tax credits,0.2,low
education should be funded using a voucher scheme,traditional public schools,voucher scheme,0.8,high
education should be funded using a voucher scheme,usa patriot act,education,0.0,low
education should be funded using a voucher scheme,usa patriot act,voucher scheme,0.1,low
education should be funded using a voucher scheme,valign top,capitalism,0.0,low
education should be funded using a voucher scheme,valign top,charter school law,0.1,low
education should be funded using a voucher scheme,valign top,childcare voucher scheme,0.0,low
education should be funded using a voucher scheme,valign top,rich,0.0,low
education should be funded using a voucher scheme,valign top,tax,0.0,low
education should be funded using a voucher scheme,voucher system,education,0.9,high
education should be funded using a voucher scheme,voucher system,voucher scheme,1.0,high
endangered species should be protected,anthropocentric,endangered species,0.3,low
endangered species should be protected,anthropocentrism,endangered species,0.3,low
endangered species should be protected,biodiversity,coral reefs,0.7,high
endangered species should be protected,biodiversity,endangered species,0.9,high
endangered species should be protected,biological diversity,endangered species,1.0,high
endangered species should be protected,biological diversity,species loss,0.9,high
endangered species should be protected,conservation,anthropocentric,0.4,medium
endangered species should be protected,conservation,endangered species,1.0,high
endangered species should be protected,conservation,sustainable,0.7,high
endangered species should be protected,conservation biologists,deep ecologists,0.9,high
endangered species should be protected,conservation biologists,earth,0.7,high
endangered species should be protected,conservation biologists,endangered species,1.0,high
endangered species should be protected,conservation biology,anthropocentrism,0.6,medium
endangered species should be protected,conservation biology,ecology,0.8,high
endangered species should be protected,conservation biology,endangered species,1.0,high
endangered species should be protected,conservation biology,human,0.4,medium
endangered species should be protected,conservation biology,natural history,0.3,low
endangered species should be protected,coral reefs,endangered species,0.7,high
endangered species should be protected,deep ecologists,endangered species,0.9,high
endangered species should be protected,deep ecology,endangered species,0.8,high
endangered species should be protected,deep ecology,extinction event,0.2,low
endangered species should be protected,deep ecology,sustainability,0.6,medium
endangered species should be protected,deep ecology,sustainable,0.4,medium
endangered species should be protected,destruction of habitat,coral reefs,0.6,medium
endangered species should be protected,destruction of habitat,endangered species,1.0,high
endangered species should be protected,destruction of habitat,human,0.8,high
endangered species should be protected,destruction of habitat,sustainable,0.3,low
endangered species should be protected,destruction of habitat,tropical,0.6,medium
endangered species should be protected,diversity,endangered species,0.7,high
endangered species should be protected,diversity,habitat loss,0.9,high
endangered species should be protected,diversity,invasive species,0.4,medium
endangered species should be protected,earth,endangered species,0.5,medium
endangered species should be protected,ecological,endangered species,0.8,high
endangered species should be protected,ecologists,endangered species,0.9,high
endangered species should be protected,ecology,endangered species,0.8,high
endangered species should be protected,ecosystem,ecologists,1.0,high
endangered species should be protected,ecosystem,ecology,1.0,high
endangered species should be protected,ecosystem,endangered species,0.8,high
endangered species should be protected,ecosystem services,endangered species,0.8,high
endangered species should be protected,ecosystems,endangered species,0.8,high
endangered species should be protected,ecosystems,human,0.4,medium
endangered species should be protected,ecosystems,insects,0.6,medium
endangered species should be protected,ecosystems,invasive species,0.5,medium
endangered species should be protected,endangered species act,endangered species,1.0,high
endangered species should be protected,endangered species act,libertarian extension,0.4,medium
endangered species should be protected,extinct,endangered species,1.0,high
endangered species should be protected,extinct,sustainability,0.5,medium
endangered species should be protected,extinction,endangered species,1.0,high
endangered species should be protected,extinction event,endangered species,1.0,high
endangered species should be protected,genetic diversity,anthropocentric,0.2,low
endangered species should be protected,genetic diversity,endangered species,0.9,high
endangered species should be protected,genetic diversity,habitat loss,0.9,high
endangered species should be protected,genetic diversity,sustainability,0.8,high
endangered species should be protected,genetic diversity,tropical,0.5,medium
endangered species should be protected,genetic resources,coral reefs,0.5,medium
endangered species should be protected,genetic resources,endangered species,0.7,high
endangered species should be protected,genetic resources,libertarian extension,0.1,low
endangered species should be protected,genetic resources,natural history,0.1,low
endangered species should be protected,genetic resources,sustainable,0.4,medium
endangered species should be protected,habitat,endangered species,0.9,high
endangered species should be protected,habitat destruction,endangered species,1.0,high
endangered species should be protected,habitat loss,endangered species,1.0,high
endangered species should be protected,human,endangered species,0.1,low
endangered species should be protected,insects,endangered species,0.5,medium
endangered species should be protected,invasive species,endangered species,0.7,high
endangered species should be protected,iucn red list,anthropocentric,0.1,low
endangered species should be protected,iucn red list,endangered species,0.9,high
endangered species should be protected,iucn red list,libertarian extension,0.1,low
endangered species should be protected,libertarian extension,endangered species,0.5,medium
endangered species should be protected,loss of biodiversity,endangered species,1.0,high
endangered species should be protected,loss of biodiversity,habitat loss,1.0,high
endangered species should be protected,loss of biodiversity,sustainability,0.8,high
endangered species should be protected,mass extinction events,anthropocentrism,0.1,low
endangered species should be protected,mass extinction events,endangered species,1.0,high
endangered species should be protected,mass extinction events,national parks,0.2,low
endangered species should be protected,million years,endangered species,0.1,low
endangered species should be protected,million years,insects,0.0,low
endangered species should be protected,million years ago,endangered species,0.1,low
endangered species should be protected,million years ago,natural history,0.6,medium
endangered species should be protected,million years ago,sustainability,0.0,low
endangered species should be protected,mutually agreed terms,anthropocentrism,0.0,low
endangered species should be protected,mutually agreed terms,earth,0.1,low
endangered species should be protected,mutually agreed terms,ecologists,0.0,low
endangered species should be protected,mutually agreed terms,endangered species,0.1,low
endangered species should be protected,mutually agreed terms,insects,0.0,low
endangered species should be protected,mutually agreed terms,libertarian extension,0.0,low
endangered species should be protected,national parks,endangered species,0.6,medium
endangered species should be protected,natural habitat,endangered species,1.0,high
endangered species should be protected,natural habitat,species extinctions,0.8,high
endangered species should be protected,natural history,endangered species,0.4,medium
endangered species should be protected,natural resource management,endangered species,0.7,high
endangered species should be protected,natural resource management,libertarian extension,0.4,medium
endangered species should be protected,natural resource management,tropical,0.1,low
endangered species should be protected,number of species,coral reefs,0.4,medium
endangered species should be protected,number of species,ecology,0.8,high
endangered species should be protected,number of species,endangered species,0.8,high
endangered species should be protected,number of species,species loss,1.0,high
endangered species should be protected,species,anthropocentric,0.4,medium
endangered species should be protected,species,endangered species,1.0,high
endangered species should be protected,species,invasive species,0.9,high
endangered species should be protected,species,tropical,0.5,medium
endangered species should be protected,species and ecosystems,endangered species,0.9,high
endangered species should be protected,species and ecosystems,invasive species,0.7,high
endangered species should be protected,species and ecosystems,sustainability,0.7,high
endangered species should be protected,species and ecosystems,tropical,0.5,medium
endangered species should be protected,species extinctions,endangered species,1.0,high
endangered species should be protected,species loss,endangered species,1.0,high
endangered species should be protected,sustainability,endangered species,0.5,medium
endangered species should be protected,sustainable,endangered species,0.4,medium
endangered species should be protected,tropical,endangered species,0.6,medium
europe should weaken its austerity measures to guarantee its citizens greater social support,austerity,austerity measures,1.0,high
europe should weaken its austerity measures to guarantee its citizens greater social support,austerity,citizens,0.4,medium
europe should weaken its austerity measures to guarantee its citizens greater social support,austerity,debts,1.0,high
europe should weaken its austerity measures to guarantee its citizens greater social support,austerity,economy,1.0,high
europe should weaken its austerity measures to guarantee its citizens greater social support,austerity,esping andersen,0.1,low
europe should weaken its austerity measures to guarantee its citizens greater social support,austerity,europe,0.5,medium
europe should weaken its austerity measures to guarantee its citizens greater social support,austerity,government deficit,1.0,high
europe should weaken its austerity measures to guarantee its citizens greater social support,austerity,loan,0.6,medium
europe should weaken its austerity measures to guarantee its citizens greater social support,austerity,private,0.0,low
europe should weaken its austerity measures to guarantee its citizens greater social support,austerity,private holders,0.1,low
europe should weaken its austerity measures to guarantee its citizens greater social support,austerity,social support,0.7,high
europe should weaken its austerity measures to guarantee its citizens greater social support,austerity,sovereign default,0.7,high
europe should weaken its austerity measures to guarantee its citizens greater social support,austerity,spending,0.7,high
europe should weaken its austerity measures to guarantee its citizens greater social support,austerity,troika,0.8,high
europe should weaken its austerity measures to guarantee its citizens greater social support,austerity measures,austerity measures,1.0,high
europe should weaken its austerity measures to guarantee its citizens greater social support,austerity measures,budget,1.0,high
europe should weaken its austerity measures to guarantee its citizens greater social support,austerity measures,citizens,0.6,medium
europe should weaken its austerity measures to guarantee its citizens greater social support,austerity measures,economy,1.0,high
europe should weaken its austerity measures to guarantee its citizens greater social support,austerity measures,esping andersen,0.1,low
europe should weaken its austerity measures to guarantee its citizens greater social support,austerity measures,europe,0.5,medium
europe should weaken its austerity measures to guarantee its citizens greater social support,austerity measures,germany,0.5,medium
europe should weaken its austerity measures to guarantee its citizens greater social support,austerity measures,loan,0.6,medium
europe should weaken its austerity measures to guarantee its citizens greater social support,austerity measures,private holders,0.1,low
europe should weaken its austerity measures to guarantee its citizens greater social support,austerity measures,social support,0.7,high
europe should weaken its austerity measures to guarantee its citizens greater social support,austerity measures,sovereign default,0.7,high
europe should weaken its austerity measures to guarantee its citizens greater social support,austerity measures,year bonds,0.1,low
europe should weaken its austerity measures to guarantee its citizens greater social support,austerity package,austerity measures,1.0,high
europe should weaken its austerity measures to guarantee its citizens greater social support,austerity package,budget,0.6,medium
europe should weaken its austerity measures to guarantee its citizens greater social support,austerity package,citizens,0.6,medium
europe should weaken its austerity measures to guarantee its citizens greater social support,austerity package,debt swap,0.5,medium
europe should weaken its austerity measures to guarantee its citizens greater social support,austerity package,debts,1.0,high
europe should weaken its austerity measures to guarantee its citizens greater social support,austerity package,europe,0.5,medium
europe should weaken its austerity measures to guarantee its citizens greater social support,austerity package,germany,0.7,high
europe should weaken its austerity measures to guarantee its citizens greater social support,austerity package,government deficit,0.8,high
europe should weaken its austerity measures to guarantee its citizens greater social support,austerity package,savings,0.4,medium
europe should weaken its austerity measures to guarantee its citizens greater social support,austerity package,social support,0.6,medium
europe should weaken its austerity measures to guarantee its citizens greater social support,austerity package,sovereign default,0.6,medium
europe should weaken its austerity measures to guarantee its citizens greater social support,austerity package,spending,0.7,high
europe should weaken its austerity measures to guarantee its citizens greater social support,austerity package,year bonds,0.2,low
europe should weaken its austerity measures to guarantee its citizens greater social support,bailout,austerity measures,0.6,medium
europe should weaken its austerity measures to guarantee its citizens greater social support,bailout,citizens,0.0,low
europe should weaken its austerity measures to guarantee its citizens greater social support,bailout,debt swap,0.4,medium
europe should weaken its austerity measures to guarantee its citizens greater social support,bailout,esping andersen,0.0,low
europe should weaken its austerity measures to guarantee its citizens greater social support,bailout,europe,0.4,medium
europe should weaken its austerity measures to guarantee its citizens greater social support,bailout,government deficit,0.6,medium
europe should weaken its austerity measures to guarantee its citizens greater social support,bailout,social support,0.3,low
europe should weaken its austerity measures to guarantee its citizens greater social support,bailout,spending,0.3,low
europe should weaken its austerity measures to guarantee its citizens greater social support,budget,austerity measures,0.8,high
europe should weaken its austerity measures to guarantee its citizens greater social support,budget,citizens,0.2,low
europe should weaken its austerity measures to guarantee its citizens greater social support,budget,europe,0.3,low
europe should weaken its austerity measures to guarantee its citizens greater social support,budget,social support,0.6,medium
europe should weaken its austerity measures to guarantee its citizens greater social support,budget deficit,austerity measures,1.0,high
europe should weaken its austerity measures to guarantee its citizens greater social support,budget deficit,citizens,0.3,low
europe should weaken its austerity measures to guarantee its citizens greater social support,budget deficit,europe,0.5,medium
europe should weaken its austerity measures to guarantee its citizens greater social support,budget deficit,social support,0.5,medium
europe should weaken its austerity measures to guarantee its citizens greater social support,collective action clause,austerity measures,0.8,high
europe should weaken its austerity measures to guarantee its citizens greater social support,collective action clause,budget,0.2,low
europe should weaken its austerity measures to guarantee its citizens greater social support,collective action clause,budget deficit,0.4,medium
europe should weaken its austerity measures to guarantee its citizens greater social support,collective action clause,citizens,0.1,low
europe should weaken its austerity measures to guarantee its citizens greater social support,collective action clause,debts,0.9,high
europe should weaken its austerity measures to guarantee its citizens greater social support,collective action clause,economy,0.8,high
europe should weaken its austerity measures to guarantee its citizens greater social support,collective action clause,europe,0.0,low
europe should weaken its austerity measures to guarantee its citizens greater social support,collective action clause,private,0.2,low
europe should weaken its austerity measures to guarantee its citizens greater social support,collective action clause,social support,0.2,low
europe should weaken its austerity measures to guarantee its citizens greater social support,collective action clause,sovereign debt,0.5,medium
europe should weaken its austerity measures to guarantee its citizens greater social support,collective action clause,sovereign default,0.7,high
europe should weaken its austerity measures to guarantee its citizens greater social support,collective action clause,spending,0.1,low
europe should weaken its austerity measures to guarantee its citizens greater social support,debt,austerity measures,0.7,high
europe should weaken its austerity measures to guarantee its citizens greater social support,debt,budget,1.0,high
europe should weaken its austerity measures to guarantee its citizens greater social support,debt,citizens,0.1,low
europe should weaken its austerity measures to guarantee its citizens greater social support,debt,debt swap,1.0,high
europe should weaken its austerity measures to guarantee its citizens greater social support,debt,esping andersen,0.2,low
europe should weaken its austerity measures to guarantee its citizens greater social support,debt,europe,0.4,medium
europe should weaken its austerity measures to guarantee its citizens greater social support,debt,harsh austerity,0.9,high
europe should weaken its austerity measures to guarantee its citizens greater social support,debt,loan,1.0,high
europe should weaken its austerity measures to guarantee its citizens greater social support,debt,private holders,0.2,low
europe should weaken its austerity measures to guarantee its citizens greater social support,debt,savings,0.6,medium
europe should weaken its austerity measures to guarantee its citizens greater social support,debt,social support,0.5,medium
europe should weaken its austerity measures to guarantee its citizens greater social support,debt,sovereign debt,1.0,high
europe should weaken its austerity measures to guarantee its citizens greater social support,debt,spending,0.9,high
europe should weaken its austerity measures to guarantee its citizens greater social support,debt crisis,austerity measures,1.0,high
europe should weaken its austerity measures to guarantee its citizens greater social support,debt crisis,citizens,0.2,low
europe should weaken its austerity measures to guarantee its citizens greater social support,debt crisis,debt swap,1.0,high
europe should weaken its austerity measures to guarantee its citizens greater social support,debt crisis,esping andersen,0.2,low
europe should weaken its austerity measures to guarantee its citizens greater social support,debt crisis,europe,0.7,high
europe should weaken its austerity measures to guarantee its citizens greater social support,debt crisis,harsh austerity,1.0,high
europe should weaken its austerity measures to guarantee its citizens greater social support,debt crisis,private holders,0.4,medium
europe should weaken its austerity measures to guarantee its citizens greater social support,debt crisis,social support,0.7,high
europe should weaken its austerity measures to guarantee its citizens greater social support,debt crisis,sovereign default,0.9,high
europe should weaken its austerity measures to guarantee its citizens greater social support,debt crisis,troika,0.8,high
europe should weaken its austerity measures to guarantee its citizens greater social support,debt crisis,year bonds,0.2,low
europe should weaken its austerity measures to guarantee its citizens greater social support,debt level,austerity measures,0.9,high
europe should weaken its austerity measures to guarantee its citizens greater social support,debt level,budget,0.9,high
europe should weaken its austerity measures to guarantee its citizens greater social support,debt level,citizens,0.2,low
europe should weaken its austerity measures to guarantee its citizens greater social support,debt level,europe,0.5,medium
europe should weaken its austerity measures to guarantee its citizens greater social support,debt level,germany,0.2,low
europe should weaken its austerity measures to guarantee its citizens greater social support,debt level,loan,0.8,high
europe should weaken its austerity measures to guarantee its citizens greater social support,debt level,private sector,0.1,low
europe should weaken its austerity measures to guarantee its citizens greater social support,debt level,social support,0.7,high
europe should weaken its austerity measures to guarantee its citizens greater social support,debt level,sovereign debt,0.9,high
europe should weaken its austerity measures to guarantee its citizens greater social support,debt level,spending,0.7,high
europe should weaken its austerity measures to guarantee its citizens greater social support,debt level,year bonds,0.1,low
europe should weaken its austerity measures to guarantee its citizens greater social support,debt restructure agreement,austerity measures,0.7,high
europe should weaken its austerity measures to guarantee its citizens greater social support,debt restructure agreement,budget,0.3,low
europe should weaken its austerity measures to guarantee its citizens greater social support,debt restructure agreement,budget deficit,0.5,medium
europe should weaken its austerity measures to guarantee its citizens greater social support,debt restructure agreement,citizens,0.1,low
europe should weaken its austerity measures to guarantee its citizens greater social support,debt restructure agreement,debt swap,1.0,high
europe should weaken its austerity measures to guarantee its citizens greater social support,debt restructure agreement,economy,0.8,high
europe should weaken its austerity measures to guarantee its citizens greater social support,debt restructure agreement,esping andersen,0.0,low
europe should weaken its austerity measures to guarantee its citizens greater social support,debt restructure agreement,europe,0.2,low
europe should weaken its austerity measures to guarantee its citizens greater social support,debt restructure agreement,germany,0.5,medium
europe should weaken its austerity measures to guarantee its citizens greater social support,debt restructure agreement,harsh austerity,0.7,high
europe should weaken its austerity measures to guarantee its citizens greater social support,debt restructure agreement,private holders,0.3,low
europe should weaken its austerity measures to guarantee its citizens greater social support,debt restructure agreement,recession,0.5,medium
europe should weaken its austerity measures to guarantee its citizens greater social support,debt restructure agreement,social support,0.2,low
europe should weaken its austerity measures to guarantee its citizens greater social support,debt restructure agreement,sovereign debt,1.0,high
